subset,n,parity,equality,error_rate
all_test,2566.0,0.11038443163980621,0.07773400603589276,0.3016367887763055
minority_only,955.0,,,0.3099476439790576
minority_isolated,5.0,,,0.4
high_boundary,514.0,0.003937425226780533,0.019273221259976214,0.2782101167315175
high_influence,514.0,0.045671313279530446,0.02141378290446605,0.29571984435797666
high_sged,514.0,0.003937425226780533,0.019273221259976214,0.2782101167315175
minority_and_high_boundary,261.0,,,0.28735632183908044
minority_and_high_sged,261.0,,,0.28735632183908044
high_boundary_and_high_influence,312.0,0.035459817729908805,0.013902439024390256,0.28205128205128205
