subset,n,parity,equality,error_rate
all_test,2566.0,0.07707258360213198,0.06006530989213976,0.2915042868277475
minority_only,908.0,,,0.29515418502202645
minority_isolated,3.0,,,0.3333333333333333
high_boundary,531.0,0.023363550573365033,0.07224523612261813,0.263653483992467
high_influence,514.0,0.028559301479505195,0.013042111879321139,0.29571984435797666
high_sged,531.0,0.023363550573365033,0.07224523612261813,0.263653483992467
minority_and_high_boundary,242.0,,,0.2975206611570248
minority_and_high_sged,242.0,,,0.2975206611570248
high_boundary_and_high_influence,309.0,0.023295981127306464,0.05884425651867509,0.2783171521035599
