subset,n,parity,equality,error_rate
all_test,2566.0,0.033807111389348,0.04313165592860413,0.30709275136399067
minority_only,907.0,,,0.29437706725468576
minority_isolated,3.0,,,0.6666666666666666
high_boundary,525.0,0.00507651344471427,0.052066024149772905,0.2819047619047619
high_influence,514.0,0.0065573273969076196,0.02040922040922044,0.301556420233463
high_sged,525.0,0.00507651344471427,0.052066024149772905,0.2819047619047619
minority_and_high_boundary,239.0,,,0.30962343096234307
minority_and_high_sged,239.0,,,0.30962343096234307
high_boundary_and_high_influence,300.0,0.014089515089559468,0.021505376344086002,0.2833333333333333
