subset,n,parity,equality,error_rate
all_test,2566.0,0.05215791297943084,0.05966861032690429,0.29890880748246296
minority_only,872.0,,,0.2763761467889908
minority_isolated,1.0,,,1.0
high_boundary,529.0,0.05329468488118472,0.012402234636871512,0.2589792060491493
high_influence,515.0,0.07045886505566112,0.05072959416324674,0.28932038834951457
high_sged,529.0,0.05329468488118472,0.012402234636871512,0.2589792060491493
minority_and_high_boundary,248.0,,,0.25
minority_and_high_sged,248.0,,,0.25
high_boundary_and_high_influence,298.0,0.04642323876747656,0.00012777919754658473,0.28523489932885904
