subset,n,parity,equality,error_rate
all_test,2566.0,0.0939223366031614,0.059781091193388036,0.3094310210444271
minority_only,887.0,,,0.31905298759864714
minority_isolated,2.0,,,0.5
high_boundary,514.0,0.00867087072520012,0.046710526315789536,0.30739299610894943
high_influence,514.0,0.06470374409305707,0.022849185062925548,0.33073929961089493
high_sged,514.0,0.00867087072520012,0.046710526315789536,0.30739299610894943
minority_and_high_boundary,248.0,,,0.3387096774193548
minority_and_high_sged,248.0,,,0.3387096774193548
high_boundary_and_high_influence,260.0,0.020571972174326603,0.06172839506172845,0.3346153846153846
