term,coef,std_err,z,p_value,odds_ratio,seed
Intercept,-0.8948613790129919,0.14162892867616275,-6.318351677001734,2.643678598347603e-10,0.40866424415550895,11
minority,-0.01010286632296295,0.10407439954802347,-0.09707350094584156,0.9226680246374018,0.989947996201137,11
boundary_score,-0.8037594986495199,0.5913186284028997,-1.3592663245201737,0.17406221103995523,0.44764288387752194,11
influence_proxy,14.766388393330711,13.873758125200208,1.0643394716900199,0.28717494298085555,2587980.483261093,11
log_degree,0.032749704166263154,0.049681878323459716,0.6591881239481798,0.5097749721734315,1.0332918782196154,11
minority:boundary_score,0.881800616037871,0.8292850265105719,1.063326344801222,0.28763398198439094,2.4152447217724924,11
minority:influence_proxy,9.176374178743863,24.958340805697205,0.36766763665031715,0.713121074984151,9666.041818481628,11
