term,coef,std_err,z,p_value,odds_ratio,seed
Intercept,-0.8948613790129919,0.14162892867616275,-6.318351677001734,2.643678598347603e-10,0.40866424415550895,11
minority,-0.01010286632296295,0.10407439954802347,-0.09707350094584156,0.9226680246374018,0.989947996201137,11
boundary_score,-0.8037594986495199,0.5913186284028997,-1.3592663245201737,0.17406221103995523,0.44764288387752194,11
influence_proxy,14.766388393330711,13.873758125200208,1.0643394716900199,0.28717494298085555,2587980.483261093,11
log_degree,0.032749704166263154,0.049681878323459716,0.6591881239481798,0.5097749721734315,1.0332918782196154,11
minority:boundary_score,0.881800616037871,0.8292850265105719,1.063326344801222,0.28763398198439094,2.4152447217724924,11
minority:influence_proxy,9.176374178743863,24.958340805697205,0.36766763665031715,0.713121074984151,9666.041818481628,11
Intercept,-1.0593024497004362,0.14306792769897833,-7.4041923073720515,1.3195109258180343e-13,0.3466975649925547,12
minority,-0.05187350503661191,0.10414216630238927,-0.49810280387284206,0.6184115844030242,0.9494489597585585,12
boundary_score,-0.1945845530722294,0.644864988751878,-0.30174463874809443,0.7628467365707551,0.8231765732056524,12
influence_proxy,-24.610742000852785,23.159231467296987,-1.062675246180145,0.28792925028200533,2.0497011910887485e-11,12
log_degree,0.07601517836201807,0.050536360221199415,1.504168049089744,0.13253810232549745,1.078978951166126,12
minority:boundary_score,0.23085995066080717,0.8953407022465468,0.2578459239946807,0.7965258202730728,1.2596828093500183,12
minority:influence_proxy,34.64511290474713,26.986113968538533,1.2838125913622747,0.19920753684027315,1112196078462137.9,12
Intercept,-0.893227079406492,0.1421938547709829,-6.281755852565651,3.347702956242894e-10,0.4093326700242131,13
minority,0.06734522808007186,0.10184288639075678,0.6612659014953457,0.5084418048900202,1.0696646927275084,13
boundary_score,0.19064413342405306,0.5803062684143164,0.3285233053659528,0.742516026088718,1.2100287666585834,13
influence_proxy,-22.106468426585934,23.383962207716728,-0.9453688057745312,0.3444706220439274,2.5077413898383854e-10,13
log_degree,0.01795354554402412,0.05030279897512911,0.35690947441912274,0.7211595766266767,1.01811567928122,13
minority:boundary_score,-0.3373316675417253,0.80081918847729,-0.42123324764875,0.6735847685418475,0.7136720987746179,13
minority:influence_proxy,17.29517761499564,26.1692069243308,0.6608980419240548,0.5086777018791759,32448916.63853186,13
Intercept,-1.262584406125897,0.146490771994919,-8.618866491943189,6.762014077747424e-18,0.282921895765128,14
minority,-0.17224612950302104,0.10708054064435805,-1.608566117303186,0.10771124805036264,0.841771962754398,14
boundary_score,0.6227658227663115,0.5991087423024218,1.0394871227766995,0.29857824389663634,1.8640766240962916,14
influence_proxy,-35.38776218868316,22.96931258516802,-1.5406539511127604,0.12340102977272932,4.278486387313291e-16,14
log_degree,0.18322684666418945,0.05175472615415681,3.5402920714608617,0.00039968444128087445,1.201086839722551,14
minority:boundary_score,-0.37150189690788765,0.9292528531472857,-0.39978558650602813,0.6893144477255659,0.6896976975348847,14
minority:influence_proxy,13.533875459726616,28.339244379777956,0.47756656029205874,0.6329587362206555,754548.9705529856,14
Intercept,-0.8766250061044821,0.14251396366472907,-6.151151673577647,7.692231123658003e-10,0.4161851664460654,15
minority,-0.14397976584919883,0.10341582093628093,-1.392241192359834,0.16384937283008394,0.8659052687397335,15
boundary_score,-0.961797506005301,0.5715181784412294,-1.682881739000022,0.09239798732024679,0.38220525191151117,15
influence_proxy,2.971014929185061,11.991225222143584,0.2477657515512793,0.8043156551150383,19.51171255662965,15
log_degree,0.05199321851518919,0.04939226485950862,1.0526591291790066,0.29249724674987276,1.0533685990859882,15
minority:boundary_score,1.9248046238365344,0.8156291555357094,2.359901691562648,0.01827977854617024,6.853809464081165,15
minority:influence_proxy,-31.97570573766839,20.752039379255873,-1.5408464273459266,0.12335416689892235,1.2975599824633975e-14,15
