subset,n,parity,equality,error_rate
all_test,2566.0,0.07528975547129374,0.02114629288360237,0.31215900233826965
minority_only,887.0,,,0.33258173618940245
minority_isolated,2.0,,,0.5
high_boundary,514.0,0.01194518554450641,0.05822368421052637,0.3229571984435798
high_influence,514.0,0.06088695019992729,0.021972354033422792,0.33657587548638135
high_sged,514.0,0.01194518554450641,0.05822368421052637,0.3229571984435798
minority_and_high_boundary,248.0,,,0.3629032258064516
minority_and_high_sged,248.0,,,0.3629032258064516
high_boundary_and_high_influence,260.0,0.0010107616386230145,0.03950617283950619,0.33076923076923076
